Time Stamp,Temperature (C),Weather Main,Rain 1h,Snow 1h
1546300800,3.86,Rain,3.06,0.0
1546304400,2.81,Rain,4.31,0.0
1546308000,3.41,Rain,4.38,0.0
1546311600,3.6,Rain,5.84,0.0
1546315200,5.45,Rain,3.77,0.0
1546318800,5.29,Rain,3.53,0.0
1546322400,6.0,Rain,1.07,0.0
1546326000,6.82,Mist,0.47,0.0
1546329600,10.08,Mist,0.0,0.0
1546333200,10.38,Mist,0.25,0.0
1546336800,11.64,Mist,0.25,0.0
1546340400,12.6,Clouds,0.0,0.0
1546344000,13.22,Rain,0.25,0.0
1546347600,13.4,Clouds,0.0,0.0
1546351200,13.68,Clouds,0.0,0.0
1546354800,13.91,Clouds,0.0,0.0
1546358400,13.49,Rain,0.5,0.0
1546362000,12.05,Clear,0.0,0.0
1546365600,11.67,Rain,0.5,0.0
1546369200,9.51,Clouds,0.0,0.0
1546372800,5.23,Clouds,0.0,0.0
1546376400,3.73,Clouds,0.0,0.0
1546380000,2.93,Rain,0.2,0.0
1546383600,2.9,Clouds,0.0,0.0
1546387200,2.52,Clouds,0.0,0.0
1546390800,2.56,Clouds,0.0,0.0
1546394400,1.94,Clear,0.0,0.0
1546398000,1.17,Clouds,0.0,0.0
1546401600,1.12,Clouds,0.0,0.0
1546405200,-0.45,Clouds,0.0,0.0
1546408800,-0.17,Clear,0.0,0.0
1546412400,-0.73,Clear,0.0,0.0
1546416000,-2.49,Clear,0.0,0.0
1546419600,-1.51,Clear,0.0,0.0
1546423200,-1.2,Clear,0.0,0.0
1546426800,-3.12,Clear,0.0,0.0
1546430400,-2.47,Clear,0.0,0.0
1546434000,-1.99,Clear,0.0,0.0
1546437600,-1.85,Clear,0.0,0.0
1546441200,-1.23,Clear,0.0,0.0
1546444800,-1.12,Clear,0.0,0.0
1546448400,-0.14,Clear,0.0,0.0
1546452000,0.17,Clear,0.0,0.0
1546455600,1.27,Clear,0.0,0.0
1546459200,0.42,Clear,0.0,0.0
1546462800,0.1,Clouds,0.0,0.0
1546466400,-0.78,Clouds,0.0,0.0
1546470000,-1.95,Clouds,0.0,0.0
1546473600,-0.87,Clouds,0.0,0.0
1546477200,-1.57,Clouds,0.0,0.0
1546480800,-1.85,Clouds,0.0,0.0
1546484400,0.34,Clouds,0.0,0.0
1546488000,0.61,Clouds,0.0,0.0
1546491600,1.34,Clouds,0.0,0.0
1546495200,1.26,Drizzle,0.0,0.0
1546498800,2.14,Drizzle,0.0,0.0
1546502400,1.45,Drizzle,0.0,0.0
1546506000,2.23,Clouds,0.0,0.0
1546509600,3.74,Clouds,0.0,0.0
1546513200,3.42,Clouds,0.0,0.0
1546516800,3.42,Clouds,0.0,0.0
1546520400,1.67,Clouds,0.0,0.0
1546524000,1.06,Clouds,0.0,0.0
1546527600,1.67,Clear,0.0,0.0
1546531200,2.07,Clear,0.0,0.0
1546534800,1.14,Clouds,0.0,0.0
1546538400,1.28,Clouds,0.0,0.0
1546542000,1.55,Clouds,0.0,0.0
1546545600,1.36,Clouds,0.0,0.0
1546549200,0.64,Clouds,0.0,0.0
1546552800,-1.39,Clouds,0.0,0.0
1546556400,-0.06,Clouds,0.0,0.0
1546560000,-0.51,Clouds,0.0,0.0
1546563600,-0.29,Clouds,0.0,0.0
1546567200,0.3,Clouds,0.0,0.0
1546570800,0.39,Clouds,0.0,0.0
1546574400,-0.02,Clear,0.0,0.0
1546578000,-0.46,Clear,0.0,0.0
1546581600,-1.2,Clear,0.0,0.0
1546585200,-2.28,Rain,0.2,0.0
1546588800,-3.04,Clear,0.0,0.0
1546592400,-2.62,Rain,0.0,0.0
1546596000,-1.07,Clear,0.0,0.0
1546599600,-1.62,Clear,0.0,0.0
1546603200,-1.94,Clear,0.0,0.0
1546606800,-2.45,Clear,0.0,0.0
1546610400,-1.7,Clear,0.0,0.0
1546614000,-1.37,Clear,0.0,0.0
1546617600,0.93,Clear,0.0,0.0
1546621200,1.96,Clear,0.0,0.0
1546624800,2.57,Clear,0.0,0.0
1546628400,3.32,Clear,0.0,0.0
1546632000,4.25,Clear,0.0,0.0
1546635600,4.38,Clear,0.0,0.0
1546639200,4.3,Clear,0.0,0.0
1546642800,4.32,Clear,0.0,0.0
1546646400,4.88,Clear,0.0,0.0
1546650000,4.46,Clear,0.0,0.0
1546653600,4.08,Clear,0.0,0.0
1546657200,6.53,Clouds,0.0,0.0
1546660800,6.14,Clouds,0.0,0.0
1546664400,6.27,Rain,0.4,0.0
1546668000,4.16,Rain,0.31,0.0
1546671600,2.9,Rain,1.34,0.0
1546675200,3.17,Rain,1.49,0.0
1546678800,2.34,Mist,0.75,0.0
1546682400,2.11,Rain,1.05,0.0
1546686000,2.15,Mist,0.25,0.0
1546689600,2.1,Mist,0.25,0.0
1546693200,1.35,Rain,0.28,0.0
1546696800,1.94,Mist,0.75,0.0
1546700400,2.13,Mist,0.51,0.0
1546704000,2.33,Rain,1.21,0.0
1546707600,2.93,Rain,0.92,0.0
1546711200,3.21,Mist,0.33,0.0
1546714800,2.38,Mist,0.3,0.0
1546718400,4.29,Rain,0.39,0.0
1546722000,2.8,Rain,0.85,0.0
1546725600,2.31,Rain,0.48,0.0
1546729200,3.01,Drizzle,0.47,0.0
1546732800,3.26,Rain,0.28,0.0
1546736400,3.02,Clouds,0.0,0.0
1546740000,2.61,Clear,0.0,0.0
1546743600,2.77,Clear,0.0,0.0
1546747200,1.16,Clear,0.0,0.0
1546750800,0.28,Clear,0.0,0.0
1546754400,-0.03,Clear,0.0,0.0
1546758000,0.76,Clear,0.0,0.0
1546761600,0.44,Clear,0.0,0.0
1546765200,0.06,Rain,0.25,0.0
1546768800,1.25,Clouds,0.0,0.0
1546772400,2.67,Clouds,0.0,0.0
1546776000,3.37,Clouds,0.0,0.0
1546779600,3.26,Clouds,0.0,0.0
1546783200,3.81,Clouds,0.0,0.0
1546786800,3.94,Clouds,0.0,0.0
1546790400,4.63,Clouds,0.0,0.0
1546794000,3.79,Clouds,0.0,0.0
1546797600,4.52,Rain,0.0,0.0
1546801200,4.87,Rain,0.0,0.0
1546804800,3.08,Clouds,0.0,0.0
1546808400,2.47,Clouds,0.0,0.0
1546812000,0.9,Clouds,0.0,0.0
1546815600,-1.83,Clear,0.0,0.0
1546819200,-2.96,Clouds,0.0,0.0
1546822800,-4.08,Clouds,0.0,0.0
1546826400,-4.76,Clouds,0.0,0.0
1546830000,-5.02,Clear,0.0,0.0
1546833600,-6.67,Clear,0.0,0.0
1546837200,-7.48,Clear,0.0,0.0
1546840800,-6.97,Clear,0.0,0.0
1546844400,-8.11,Clear,0.0,0.0
1546848000,-7.59,Clear,0.0,0.0
1546851600,-8.09,Clear,0.0,0.0
1546855200,-8.41,Clear,0.0,0.0
1546858800,-8.93,Clear,0.0,0.0
1546862400,-9.05,Clear,0.0,0.0
1546866000,-10.1,Clear,0.0,0.0
1546869600,-9.33,Clear,0.0,0.0
1546873200,-8.82,Clear,0.0,0.0
1546876800,-8.2,Clear,0.0,0.0
1546880400,-8.34,Clear,0.0,0.0
1546884000,-7.11,Clear,0.0,0.0
1546887600,-6.61,Clear,0.0,0.0
1546891200,-5.0,Clear,0.0,0.0
1546894800,-4.16,Clouds,0.0,0.0
1546898400,-3.99,Clouds,0.0,0.0
1546902000,-3.84,Clouds,0.0,0.0
1546905600,-3.66,Clouds,0.0,0.0
1546909200,-3.96,Clouds,0.0,0.0
1546912800,-3.83,Clouds,0.0,0.0
1546916400,-3.22,Clouds,0.0,0.0
1546920000,-4.14,Clouds,0.0,0.0
1546923600,-3.04,Clouds,0.0,0.0
1546927200,-1.78,Clouds,0.0,0.0
1546930800,-1.59,Clouds,0.0,0.0
1546934400,-0.5,Rain,0.24,0.0
1546938000,-0.81,Rain,0.5,0.0
1546941600,0.33,Rain,0.53,0.0
1546945200,0.8,Rain,0.39,0.0
1546948800,0.72,Mist,0.26,0.0
1546952400,1.35,Mist,0.0,0.0
1546956000,3.76,Mist,0.0,0.0
1546959600,4.22,Mist,0.0,0.0
1546963200,2.86,Rain,0.25,0.0
1546966800,2.64,Mist,0.0,0.0
1546970400,2.9,Mist,0.0,0.0
1546974000,3.85,Mist,0.0,0.0
1546977600,3.81,Mist,0.0,0.0
1546981200,4.04,Mist,0.0,0.0
1546984800,3.9,Mist,0.0,0.0
1546988400,3.55,Mist,0.0,0.0
1546992000,3.78,Mist,0.0,0.0
1546995600,3.81,Mist,0.0,0.0
1546999200,3.48,Mist,0.0,0.0
1547002800,5.69,Mist,0.0,0.0
1547006400,4.8,Mist,0.0,0.0
1547010000,3.23,Rain,2.49,0.0
1547013600,2.13,Rain,0.97,0.0
1547017200,2.66,Mist,0.25,0.0
1547020800,1.38,Clouds,0.0,0.0
1547024400,0.33,Rain,0.0,0.0
1547028000,0.57,Clear,0.0,0.0
1547031600,1.33,Clouds,0.0,0.0
1547035200,0.54,Clouds,0.0,0.0
1547038800,0.33,Clear,0.0,0.0
1547042400,0.72,Clear,0.0,0.0
1547046000,1.32,Rain,0.25,0.0
1547049600,1.43,Clouds,0.0,0.0
1547053200,1.63,Clouds,0.0,0.0
1547056800,1.87,Clouds,0.0,0.0
1547060400,1.77,Clouds,0.0,0.0
1547064000,2.38,Clouds,0.0,0.0
1547067600,0.77,Clouds,0.0,0.0
1547071200,0.15,Clouds,0.0,0.0
1547074800,-0.75,Clouds,0.0,0.0
1547078400,-1.93,Clouds,0.0,0.0
1547082000,-1.9,Clouds,0.0,0.0
1547085600,-4.23,Clouds,0.0,0.0
1547089200,-3.99,Clouds,0.0,0.0
1547092800,-5.3,Clouds,0.0,0.0
1547096400,-4.76,Clouds,0.0,0.0
1547100000,-5.17,Clouds,0.0,0.0
1547103600,-6.19,Clouds,0.0,0.0
1547107200,-6.27,Clouds,0.0,0.0
1547110800,-6.69,Snow,0.0,0.0
1547114400,-6.84,Clouds,0.0,0.0
1547118000,-6.47,Clouds,0.0,0.0
1547121600,-6.42,Clouds,0.0,0.0
1547125200,-6.89,Clouds,0.0,0.0
1547128800,-6.9,Clouds,0.0,0.0
1547132400,-6.28,Clouds,0.0,0.0
1547136000,-6.19,Clouds,0.0,0.0
1547139600,-6.69,Clouds,0.0,0.0
1547143200,-6.6,Clouds,0.0,0.0
1547146800,-6.11,Rain,0.2,0.0
1547150400,-6.17,Clouds,0.0,0.0
1547154000,-6.3,Clouds,0.0,0.0
1547157600,-6.77,Clouds,0.0,0.0
1547161200,-6.89,Clear,0.0,0.0
1547164800,-7.54,Clouds,0.0,0.0
