Time Stamp,Temperature (C),Weather Main,Rain 1h,Snow 1h
1546300800,3.42,Rain,3.06,4.4
1546315200,5.89,Rain,3.77,2.21
1546329600,11.18,Mist,0.0,0.12
1546344000,13.55,Rain,0.25,0.06
1546358400,11.68,Rain,0.5,0.25
1546372800,3.7,Clouds,0.0,0.05
1546387200,2.05,Clouds,0.0,0.0
1546401600,-0.06,Clouds,0.0,0.0
1546416000,-2.08,Clear,0.0,0.0
1546430400,-1.89,Clear,0.0,0.0
1546444800,0.04,Clear,0.0,0.0
1546459200,-0.55,Clear,0.0,0.0
1546473600,-0.99,Clouds,0.0,0.0
1546488000,1.34,Clouds,0.0,0.0
1546502400,2.71,Drizzle,0.0,0.0
1546516800,1.96,Clouds,0.0,0.0
1546531200,1.51,Clear,0.0,0.0
1546545600,0.14,Clouds,0.0,0.0
1546560000,-0.03,Clouds,0.0,0.0
1546574400,-0.99,Clear,0.0,0.05
1546588800,-2.09,Clear,0.0,0.0
1546603200,-1.87,Clear,0.0,0.0
1546617600,2.19,Clear,0.0,0.0
1546632000,4.31,Clear,0.0,0.0
1546646400,4.99,Clear,0.0,0.0
1546660800,4.87,Clouds,0.0,0.51
1546675200,2.44,Rain,1.49,0.88
1546689600,1.88,Mist,0.25,0.45
1546704000,2.71,Rain,1.21,0.69
1546718400,3.1,Rain,0.39,0.55
1546732800,2.91,Rain,0.28,0.07
1546747200,0.54,Clear,0.0,0.0
1546761600,1.1,Clear,0.0,0.06
1546776000,3.6,Clouds,0.0,0.0
1546790400,4.45,Clouds,0.0,0.0
1546804800,1.16,Clouds,0.0,0.0
1546819200,-4.2,Clouds,0.0,0.0
1546833600,-7.31,Clear,0.0,0.0
1546848000,-8.25,Clear,0.0,0.0
1546862400,-9.32,Clear,0.0,0.0
1546876800,-7.56,Clear,0.0,0.0
1546891200,-4.25,Clear,0.0,0.0
1546905600,-3.67,Clouds,0.0,0.0
1546920000,-2.64,Clouds,0.0,0.0
1546934400,-0.04,Rain,0.24,0.42
1546948800,2.51,Mist,0.26,0.06
1546963200,3.06,Rain,0.25,0.06
1546977600,3.82,Mist,0.0,0.0
1546992000,4.19,Mist,0.0,0.0
1547006400,3.2,Mist,0.0,0.93
1547020800,0.9,Clouds,0.0,0.0
1547035200,0.73,Clouds,0.0,0.06
1547049600,1.67,Clouds,0.0,0.0
1547064000,0.64,Clouds,0.0,0.0
1547078400,-3.01,Clouds,0.0,0.0
1547092800,-5.36,Clouds,0.0,0.0
1547107200,-6.57,Clouds,0.0,0.0
1547121600,-6.62,Clouds,0.0,0.0
1547136000,-6.4,Clouds,0.0,0.05
1547150400,-6.53,Clouds,0.0,0.0
1547164800,-7.66,Clouds,0.0,0.0
1547179200,-9.14,Clouds,0.0,0.0
1547193600,-10.83,Clear,0.0,0.0
1547208000,-12.55,Clear,0.0,0.0
1547222400,-9.12,Clear,0.0,0.0
1547236800,-8.76,Clear,0.0,0.0
1547251200,-10.62,Clear,0.0,0.0
1547265600,-12.27,Clear,0.0,0.0
1547280000,-12.86,Clear,0.0,0.0
1547294400,-9.72,Clouds,0.0,0.0
1547308800,-5.15,Clouds,0.0,0.0
1547323200,-3.45,Clouds,0.0,0.0
1547337600,-4.42,Clouds,0.0,0.0
1547352000,-5.55,Clouds,0.0,0.0
1547366400,-7.63,Clouds,0.0,0.0
1547380800,-9.21,Snow,0.0,0.0
1547395200,-6.17,Clouds,0.0,0.0
1547409600,-5.99,Clear,0.0,0.0
1547424000,-8.44,Clear,0.0,0.0
1547438400,-10.48,Clear,0.0,0.0
1547452800,-12.35,Clear,0.0,0.0
1547467200,-11.99,Clouds,0.0,0.0
1547481600,-7.36,Clear,0.0,0.0
1547496000,-5.04,Clear,0.0,0.0
1547510400,-5.75,Clear,0.0,0.0
1547524800,-6.22,Clear,0.0,0.0
1547539200,-7.74,Clear,0.0,0.0
1547553600,-8.55,Clear,0.0,0.0
1547568000,-4.49,Clear,0.0,0.0
1547582400,-2.86,Clear,0.0,0.0
1547596800,-3.63,Clear,0.0,0.0
1547611200,-3.89,Clear,0.0,0.0
1547625600,-6.25,Clear,0.0,0.0
1547640000,-6.1,Clear,0.0,0.0
1547654400,-3.08,Clouds,0.0,0.0
1547668800,-0.71,Clouds,0.0,0.0
1547683200,-1.6,Clouds,0.0,0.0
1547697600,-5.24,Clear,0.0,0.0
1547712000,-9.38,Clear,0.0,0.0
1547726400,-9.54,Clear,0.0,0.0
1547740800,-5.83,Clear,0.0,0.0
1547755200,-4.88,Clear,0.0,0.0
1547769600,-4.89,Snow,0.0,0.0
1547784000,-5.39,Clouds,0.0,0.0
