station_name,lat,lon,remote_unit_id,short_name
Lexington Av/59 St,40.76266,-73.967258,16,LEXINGTON-53 ST
Lexington Av/59 St,40.76266,-73.967258,17,LEXINGTON-53 ST
Lexington Av/59 St,40.76266,-73.967258,50,59 ST
Lexington Av/59 St,40.76266,-73.967258,51,59 ST
5 Av/59 St,40.764811,-73.973347,79,5 AVE-59 ST
57 St - 7 Av,40.764664,-73.980658,80,57 ST-7 AVE
49 St,40.759901,-73.984139,81,49 ST-7 AVE
Times Sq - 42 St,40.754672,-73.986754,10,42 ST-PA BUS TE
Times Sq - 42 St,40.754672,-73.986754,11,42 ST-PA BUS TE
Times Sq - 42 St,40.754672,-73.986754,32,42 ST-TIMES SQ
Times Sq - 42 St,40.754672,-73.986754,33,42 ST-TIMES SQ
34 St - Herald Sq,40.749567,-73.98795,22,34 ST-HERALD SQ
34 St - Herald Sq,40.749567,-73.98795,23,34 ST-HERALD SQ
28 St,40.745494,-73.988691,82,28 ST-BROADWAY
23 St,40.741303,-73.989344,83,23 ST-5 AVE
14 St - Union Sq,40.735736,-73.990568,170,14 ST-UNION SQ
8 St - NYU,40.730328,-73.992629,85,8 ST-B'WAY NYU
Prince St,40.724329,-73.997702,86,PRINCE ST-B'WAY
Canal St,40.719527,-74.001775,118,CANAL ST
Canal St,40.719527,-74.001775,462,CANAL ST
Canal St,40.719527,-74.001775,463,CANAL ST
City Hall,40.713282,-74.006978,87,MURRAY ST-B'WAY
Cortlandt St,40.710668,-74.011029,29,PARK PLACE
Cortlandt St,40.710668,-74.011029,88,CORTLANDT ST
Rector St,40.70722,-74.013342,227,RECTOR ST
Whitehall St,40.703087,-74.012994,1,WHITEHALL ST
Essex St,40.718315,-73.987437,142,ESSEX ST
Bowery,40.72028,-73.993915,311,BOWERY
Chambers St,40.713243,-74.003401,44,BROOKLYN BRIDGE
Fulton St,40.710374,-74.007582,14,FULTON ST
Fulton St,40.710374,-74.007582,28,FULTON ST
Broad St,40.706476,-74.011056,125,BROAD ST
8 Av,40.739777,-74.002578,175,8 AVE
6 Av,40.737335,-73.996786,105,14 ST
6 Av,40.737335,-73.996786,163,14 ST-6 AVE
3 Av,40.732849,-73.986122,330,3 AVE
1 Av,40.730953,-73.981628,248,1 AVE
Inwood - 207 St,40.868072,-73.919899,173,INWOOD-207 ST
Dyckman St,40.865491,-73.927271,185,DYCKMAN-200 ST
190 St,40.859022,-73.93418,280,190 ST
181 St,40.851695,-73.937969,174,181 ST
175 St,40.847391,-73.939704,126,175 ST
168 St,40.840719,-73.939561,35,168 ST-BROADWAY
163 St - Amsterdam Av,40.836013,-73.939892,296,163 ST-AMSTERDM
155 St,40.830518,-73.941514,331,155 ST
145 St,40.824783,-73.944216,101,145 ST
135 St,40.817894,-73.947649,332,135 ST
125 St,40.811109,-73.952343,102,125 ST
116 St,40.805085,-73.954882,333,116 ST
Cathedral Pkwy (110 St),40.800603,-73.958161,334,CATHEDRL-110 ST
103 St,40.796092,-73.961454,314,103 ST
96 St,40.791642,-73.964696,251,96 ST
86 St,40.785868,-73.968916,186,86 ST
81 St - Museum of Natural History,40.781433,-73.972143,187,81 ST-MUSEUM
72 St,40.775594,-73.97641,281,72 ST
59 St - Columbus Circle,40.768296,-73.981736,84,59 ST-COLUMBUS
50 St,40.762456,-73.985984,188,50 ST
34 St - Penn Station,40.752287,-73.993391,12,34 ST-PENN STA
34 St - Penn Station,40.752287,-73.993391,13,34 ST-PENN STA
23 St,40.745906,-73.998041,111,23 ST
W 4 St,40.732338,-74.000495,138,W 4 ST-WASH SQ
Spring St,40.726227,-74.003739,282,SPRING ST
Canal St,40.720824,-74.005229,139,CANAL ST
155 St,40.830135,-73.938209,315,155 ST
Roosevelt Island,40.759145,-73.95326,259,ROOSEVELT IS
Lexington Av/63 St,40.764629,-73.966113,319,LEXINGTON AVE
57 St,40.763972,-73.97745,302,57 ST
47-50 Sts - Rockefeller Ctr,40.758663,-73.981329,20,47-50 ST-ROCK
42 St - Bryant Pk,40.754222,-73.984569,21,42 ST-BRYANT PK
42 St - Bryant Pk,40.754222,-73.984569,54,5 AVE-BRYANT PK
23 St,40.742878,-73.992821,203,23 ST-6 AVE
23 St,40.742878,-73.992821,453,23 ST-6 AVE
