remote_unit_id,time_stamp,entries,exits,num_people_exited,sum_exit_entry,week_num,z_score_num_people_exited,z_score_sum_exit_entry
R180,1546300800,0,0,0,0,1,-0.5121509010030599,-1.4240250581601936
R180,1546315200,79,240,161,319,1,1.110700267030066,-0.8689809047526684
R180,1546329600,97,127,30,224,1,-0.20975627341924757,-1.034276185548013
R180,1546344000,199,196,-3,395,1,-0.5423903637614411,-0.7367446801163928
R180,1546358400,345,283,-62,628,1,-1.1370997980096054,-0.3313362545867583
R180,1546372800,252,451,199,703,1,1.493733461969562,-0.2008399802746442
R180,1546387200,116,267,151,383,1,1.009902057835462,-0.7576240840063311
R180,1546401600,20,60,40,80,1,-0.10895806422464349,-1.284829032227272
R180,1546416000,367,311,-56,678,1,-1.0766208724928428,-0.24433873837868225
R180,1546430400,632,714,82,1346,1,0.3143944143926937,0.917948078161214
R180,1546444800,710,703,-7,1413,1,-0.5827096474392828,1.0345247498800358
R180,1546459200,839,889,50,1728,1,-0.008159855030039386,1.5826091019909152
R180,1546473600,213,428,215,641,1,1.6550105966809283,-0.30871690037265853
R180,1546488000,24,86,62,110,1,0.11279799600348553,-1.2326305225024263
R180,1546502400,351,414,63,765,1,0.12287781692294594,-0.09296306017662988
R180,1546516800,720,816,96,1536,1,0.45551190726513946,1.2485386397519032
R180,1546531200,780,690,-90,1470,1,-1.4193347837544967,1.1337019183572428
R180,1546545600,949,944,-5,1893,1,-0.562550005600362,1.869700905477566
R180,1546560000,211,391,180,602,1,1.302216864499814,-0.37657496301495785
R180,1546574400,30,97,67,127,1,0.1631971006007876,-1.2030513669916805
R180,1546588800,344,400,56,744,1,0.052319070486723074,-0.12950201698402183
R180,1546603200,735,848,113,1583,1,0.6268688628959664,1.3303163049874946
R180,1546617600,859,754,-105,1613,1,-1.5705320975464028,1.3825148147123403
R180,1546632000,914,847,-67,1761,1,-1.1874989026069074,1.6400274626882454
R180,1546646400,219,380,161,599,1,1.110700267030066,-0.3817948139874424
R180,1546660800,29,144,115,173,1,0.6470285047348873,-1.1230136520802505
R180,1546675200,134,376,242,510,1,1.9271657615063595,-0.5366503928378178
R180,1546689600,629,350,-279,979,1,-3.324420937532514,0.2793863091939357
R180,1546704000,502,459,-43,961,1,-0.9455832005398576,0.2480672033590283
R180,1546718400,433,474,41,907,1,-0.09887824330518308,0.15410988585430616
R180,1546732800,167,310,143,477,1,0.9292634904797787,-0.594068753535148
R180,1546747200,46,122,76,168,1,0.2539154888759313,-1.131713403701058
R180,1546761600,82,105,23,187,1,-0.28031501985547047,-1.0986543475419892
R180,1546776000,308,239,-69,547,1,-1.207658544445828,-0.4722722308438415
R180,1546790400,416,471,55,887,1,0.04223924956726267,0.11931087937107572
R180,1546804800,341,506,165,847,1,1.1510195507079077,0.04971286640461487
R180,1546819200,120,256,136,376,1,0.8587047440435559,-0.7698037362754617
R180,1546833600,28,57,29,85,1,-0.219836094338708,-1.2761292806064644
R180,1546848000,369,478,109,847,1,0.5865495792181248,0.04971286640461487
R180,1546862400,726,767,41,1493,1,-0.09887824330518308,1.1737207758129578
R180,1546876800,760,746,-14,1506,1,-0.6532683938755056,1.1963401300270575
R180,1546891200,1025,1058,33,2083,1,-0.17951681066086636,2.200291467068255
R180,1546905600,211,336,125,547,2,0.9703297536511633,-0.6288154126358837
R180,1546920000,35,73,38,108,2,-0.0814604925195133,-1.3124700254185018
R180,1546934400,376,511,135,887,2,1.0912251842454939,-0.09933348018465318
